,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
114,75002,48.8566969,2.3514616,Bel Canto,48.85463159369966,2.3544932532811624,French Restaurant
115,75002,48.8566969,2.3514616,Tasca,48.856685814693414,2.3563742637634277,Portuguese Restaurant
116,75002,48.8566969,2.3514616,Au Vieux Paris d'Arcole,48.85419569715162,2.3503124713897705,French Restaurant
117,75002,48.8566969,2.3514616,Comme à Lisbonne,48.856767485058,2.356461882401648,Café
118,75002,48.8566969,2.3514616,Aux Merveilleux de Fred,48.85568607650127,2.356368899345398,Dessert Shop
119,75002,48.8566969,2.3514616,Place du Châtelet,48.85771405825988,2.3475036353886267,Plaza
120,75002,48.8566969,2.3514616,Marché aux fleurs Reine Elizabeth II,48.85532574534761,2.3474066194846097,Flower Shop
121,75002,48.8566969,2.3514616,Cathédrale Notre-Dame de Paris,48.85312443201169,2.3495614528656006,Church
122,75002,48.8566969,2.3514616,Le Peloton Café,48.85550466759594,2.3560337163355456,Coffee Shop
123,75002,48.8566969,2.3514616,Galerie Sakura,48.85726430775278,2.356031975867304,Art Gallery
124,75002,48.8566969,2.3514616,Les Pinces,48.85755185997607,2.3563175494829465,Seafood Restaurant
125,75002,48.8566969,2.3514616,Pozzetto,48.85682742435843,2.3562692974557247,Ice Cream Shop
126,75002,48.8566969,2.3514616,Benedict,48.85820815365001,2.3560811411196494,French Restaurant
127,75002,48.8566969,2.3514616,Mariage Frères,48.85776928296051,2.356618019905924,Tea Room
128,75002,48.8566969,2.3514616,Levi's® Store,48.85817700225621,2.355864644050598,Clothing Store
129,75002,48.8566969,2.3514616,Galerie 88,48.854988009024574,2.3538248240947723,Tea Room
130,75002,48.8566969,2.3514616,Lot of Wine,48.85448,2.355695,Wine Bar
131,75002,48.8566969,2.3514616,Résistance,48.858041960048006,2.3566510416688433,Cocktail Bar
132,75002,48.8566969,2.3514616,Pierre Hermé,48.858127142288076,2.356441979666563,Pastry Shop
133,75002,48.8566969,2.3514616,Nature & Découvertes,48.85824916074778,2.3561629743718697,Miscellaneous Shop
134,75002,48.8566969,2.3514616,Comptoir Gourmet,48.859958,2.354374,Restaurant
135,75002,48.8566969,2.3514616,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
136,75002,48.8566969,2.3514616,Hôtel Caron de Beaumarchais,48.856448284087755,2.3567294714314917,Hotel
137,75002,48.8566969,2.3514616,She's Cake,48.85667480506846,2.3563179223128827,Cupcake Shop
138,75002,48.8566969,2.3514616,Théâtre du Châtelet,48.857775,2.3462649,Theater
139,75002,48.8566969,2.3514616,Pamela Popo,48.85574916092363,2.3569190697806426,French Restaurant
140,75002,48.8566969,2.3514616,Les Mots à la Bouche,48.85771855127609,2.3573224499493,Bookstore
141,75002,48.8566969,2.3514616,Tours de la Cathédrale Notre-Dame de Paris,48.85323032415024,2.3492074012756348,Scenic Lookout
142,75002,48.8566969,2.3514616,Centre Pompidou – Musée National d'Art Moderne,48.860729707273954,2.351660414040774,Art Museum
143,75002,48.8566969,2.3514616,Boutique du Centre Pompidou,48.860705743053124,2.3523616790771484,Souvenir Shop
144,75002,48.8566969,2.3514616,Sergeant Paper,48.860665157154486,2.350434511899948,Art Gallery
145,75002,48.8566969,2.3514616,Une Glace à Paris,48.858162463514056,2.3563510170868245,Ice Cream Shop
146,75002,48.8566969,2.3514616,Eataly Paris Marais,48.85862515030205,2.3545520907270636,Deli / Bodega
147,75002,48.8566969,2.3514616,Melodies graphiques,48.85505426275619,2.3555794116190616,Arts & Crafts Store
